OTU,percentage_identity,isolate
Acholeplasma_4568,,no_isolate
Anaeroplasma_4569,,no_isolate
Solobacterium_4582,,no_isolate
Solobacterium_4671,,no_isolate
Solobacterium_4673,,no_isolate
Solobacterium_4675,,no_isolate
Erysipelotrichaceae_UCG-007_4687,,no_isolate
Phascolarctobacterium_4692,,no_isolate
Fretibacterium_4697,,no_isolate
Fretibacterium_4700,,no_isolate
Fretibacterium_4702,,no_isolate
Family_XIII_4728,,no_isolate
Family_XIII_4729,,no_isolate
[Eubacterium]_brachy_group_4730,,no_isolate
Family_XIII_4735,,no_isolate
[Eubacterium]_nodatum_group_4741,,no_isolate
[Eubacterium]_nodatum_group_4742,,no_isolate
Mogibacterium_4753,,no_isolate
Mogibacterium_4754,,no_isolate
Mogibacterium_4758,,no_isolate
Family_XIII_4761,,no_isolate
[Eubacterium]_nodatum_group_4763,,no_isolate
Family_XIII_UCG-001_4767,,no_isolate
Family_XIII_UCG-001_4768,,no_isolate
Peptostreptococcaceae_4771,,no_isolate
Peptostreptococcaceae_4772,,no_isolate
Peptostreptococcaceae_4773,,no_isolate
[Eubacterium]_yurii_group_4775,,no_isolate
[Eubacterium]_yurii_group_4777,,no_isolate
[Eubacterium]_yurii_group_4779,,no_isolate
Finegoldia_4791,,no_isolate
Peptoniphilus_4798,,no_isolate
Peptoniphilus_4800,,no_isolate
Peptoniphilus_4807,,no_isolate
Peptoniphilus_4808,,no_isolate
Peptoniphilus_4810,,no_isolate
Peptoniphilus_4811,,no_isolate
W5053_4814,,no_isolate
W5053_4816,,no_isolate
Family_XI_4818,,no_isolate
Family_XI_4820,,no_isolate
Anaerococcus_4823,,no_isolate
Anaerococcus_4824,,no_isolate
Anaerococcus_4830,,no_isolate
Anaerococcus_4831,,no_isolate
Anaerococcus_4832,,no_isolate
Anaerococcus_4834,,no_isolate
Anaerococcus_4835,,no_isolate
Anaerococcus_4836,,no_isolate
Anaerococcus_4837,,no_isolate
Anaerococcus_4838,,no_isolate
Anaerococcus_4842,,no_isolate
Anaerococcus_4843,,no_isolate
W5053_4847,,no_isolate
[Clostridium]_innocuum_group_4855,,no_isolate
Holdemanella_4861,,no_isolate
Filifactor_4868,,no_isolate
Peptostreptococcaceae_4881,,no_isolate
Terrisporobacter_4884,,no_isolate
Romboutsia_4885,,no_isolate
Peptostreptococcus_4895,,no_isolate
Peptostreptococcus_4896,,no_isolate
Peptostreptococcus_4897,,no_isolate
Parvimonas_4927,,no_isolate
Parvimonas_4930,,no_isolate
Parvimonas_4940,,no_isolate
Parvimonas_4941,,no_isolate
Parvimonas_4944,,no_isolate
Parvimonas_4951,,no_isolate
Parvimonas_4953,,no_isolate
Parvimonas_4955,,no_isolate
Gemella_5133,99.517,Gemella n.sp. 27098_8_149
Gemella_5133,99.517,Gemella n.sp. 27098_8_155
Gemella_5133,99.517,Gemella n.sp. 27098_8_92
Gemella_5133,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5133,99.517,Gemella sanguinis 20925_1_65
Gemella_5133,99.517,Gemella sanguinis 20925_1_66
Gemella_5133,99.517,Gemella sanguinis 27098_8_105
Gemella_5133,99.517,Gemella sanguinis 27098_8_106
Gemella_5135,99.517,Gemella n.sp. 27098_8_149
Gemella_5135,99.517,Gemella n.sp. 27098_8_155
Gemella_5135,99.517,Gemella n.sp. 27098_8_92
Gemella_5135,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5135,99.517,Gemella sanguinis 20925_1_65
Gemella_5135,99.517,Gemella sanguinis 20925_1_66
Gemella_5135,99.517,Gemella sanguinis 27098_8_105
Gemella_5135,99.517,Gemella sanguinis 27098_8_106
Gemella_5138,99.517,Gemella n.sp. 27098_8_149
Gemella_5138,99.517,Gemella n.sp. 27098_8_155
Gemella_5138,99.517,Gemella n.sp. 27098_8_92
Gemella_5138,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5138,99.517,Gemella sanguinis 20925_1_65
Gemella_5138,99.517,Gemella sanguinis 20925_1_66
Gemella_5138,99.517,Gemella sanguinis 27098_8_105
Gemella_5138,99.517,Gemella sanguinis 27098_8_106
Gemella_5139,100,Gemella n.sp. 27098_8_149
Gemella_5139,100,Gemella n.sp. 27098_8_155
Gemella_5139,100,Gemella n.sp. 27098_8_92
